Field,Count,Numeric,Fill Rate,License Only
total,"2,541,845,939",2541845939,100.00%,
birth_date,"91,853,699",91853699,3.61%,
birth_date_fuzzy,"126,300,446",126300446,4.97%,
education,"192,761,711",192761711,7.58%,
education.degrees,"79,413,837",79413837,3.12%,
education.end_date,"150,920,469",150920469,5.94%,
education.gpa,"4,130,813",4130813,0.16%,
education.majors,"83,557,344",83557344,3.29%,
education.minors,"833,138",833138,0.03%,
education.raw,"125,831,477",125831477,4.95%,T
education.school,"186,552,700",186552700,7.34%,
education.school.location,"129,736,205",129736205,5.1%,
education.school.name,"186,489,345",186489345,7.34%,
education.school.profiles,"127,936,523",127936523,5.03%,
education.school.website,"126,949,059",126949059,4.99%,
education.start_date,"132,662,820",132662820,5.22%,
education.summaries,"32,471,166",32471166,1.28%,T
emails,"737,418,032",737418032,29.01%,
emails.address,"737,418,032",737418032,29.01%,
emails.domain,"737,418,032",737418032,29.01%,
emails.local,"737,418,032",737418032,29.01%,
emails.sha256,"737,418,032",737418032,29.01%,
experience,"533,071,112",533071112,20.97%,
experience.company,"470,776,342",470776342,18.52%,
experience.company.country,"241,644,540",241644540,9.51%,
experience.company.founded,"211,959,929",211959929,8.34%,
experience.company.industry,"280,745,997",280745997,11.04%,
experience.company.location,"238,796,399",238796399,9.39%,
experience.company.name,"470,422,312",470422312,18.51%,
experience.company.profiles,"280,982,122",280982122,11.05%,
experience.company.region,"241,644,540",241644540,9.51%,
experience.company.size,"280,982,122",280982122,11.05%,
experience.company.website,"259,310,329",259310329,10.2%,
experience.end_date,"133,000,707",133000707,5.23%,
experience.is_primary,"533,071,112",533071112,20.97%,
experience.last_updated,"229,921,972",229921972,9.05%,
experience.locations,"154,656,772",154656772,6.08%,
experience.locations.address_line_2,"17,989,946",17989946,0.71%,
experience.locations.continent,"154,656,772",154656772,6.08%,
experience.locations.country,"154,656,772",154656772,6.08%,
experience.locations.geo,"136,637,373",136637373,5.38%,
experience.locations.locality,"141,112,836",141112836,5.55%,
experience.locations.name,"154,656,772",154656772,6.08%,
experience.locations.postal_code,"85,830,172",85830172,3.38%,
experience.locations.region,"143,387,897",143387897,5.64%,
experience.locations.street_address,"82,945,416",82945416,3.26%,
experience.locations.subregion,"116,169,810",116169810,4.57%,
experience.locations.zip_plus_4,"10,072,125",10072125,0.4%,
experience.most_recent,"533,071,112",533071112,20.97%,
experience.start_date,"199,894,057",199894057,7.86%,
experience.summaries,"89,192,182",89192182,3.51%,T
experience.title,"458,007,545",458007545,18.02%,
experience.title.levels,"143,277,757",143277757,5.64%,
experience.title.name,"458,007,545",458007545,18.02%,
experience.title.titles,"458,007,545",458007545,18.02%,
gender,"1,654,428,135",1654428135,65.09%,
industries,"335,382,374",335382374,13.19%,
industries.is_primary,"335,382,374",335382374,13.19%,
industries.name,"335,382,374",335382374,13.19%,
inferred_salary,"143,117,766",143117766,5.63%,T
inferred_years_experience,"206,804,772",206804772,8.14%,T
interests,"103,546,027",103546027,4.07%,
languages,"154,808,885",154808885,6.09%,
languages.name,"154,808,885",154808885,6.09%,
languages.proficiency,"16,479,336",16479336,0.65%,
linkedin_connections,"254,031,330",254031330,9.99%,
locations,"1,195,647,145",1195647145,47.04%,
locations.address_line_2,"55,454,518",55454518,2.18%,
locations.continent,"1,195,647,145",1195647145,47.04%,
locations.country,"1,195,647,145",1195647145,47.04%,
locations.geo,"826,564,288",826564288,32.52%,
locations.is_primary,"1,195,647,145",1195647145,47.04%,
locations.last_updated,"385,837,997",385837997,15.18%,
locations.locality,"873,365,823",873365823,34.36%,
locations.most_recent,"1,195,647,145",1195647145,47.04%,
locations.name,"1,195,647,145",1195647145,47.04%,
locations.postal_code,"483,591,051",483591051,19.03%,
locations.region,"922,450,566",922450566,36.29%,
locations.street_address,"425,436,815",425436815,16.74%,
locations.subregion,"735,514,377",735514377,28.94%,
locations.zip_plus_4,"203,146,664",203146664,7.99%,
names,"2,411,502,240",2411502240,94.87%,
names.clean,"2,411,502,240",2411502240,94.87%,
names.first_name,"2,411,502,240",2411502240,94.87%,
names.is_primary,"2,411,502,240",2411502240,94.87%,
names.last_name,"2,411,502,240",2411502240,94.87%,
names.middle_initial,"505,544,614",505544614,19.89%,
names.middle_name,"322,288,508",322288508,12.68%,
names.name,"2,411,502,240",2411502240,94.87%,
phone_numbers,"418,726,088",418726088,16.47%,
phone_numbers.E164,"418,726,088",418726088,16.47%,
profiles,"1,807,839,282",1807839282,71.12%,
profiles.clean,"1,770,873,032",1770873032,69.67%,
profiles.ids,"1,212,155,146",1212155146,47.69%,
profiles.is_primary,"589,382,020",589382020,23.19%,
profiles.network,"1,807,839,282",1807839282,71.12%,
profiles.username,"861,797,020",861797020,33.9%,
skills,"147,542,213",147542213,5.8%,
