Value,Count,Numeric
"new york, new york, united states","7,908,017",7908017
"chicago, illinois, united states","4,930,703",4930703
"sao paulo, sao paulo, brazil","4,826,255",4826255
"los angeles, california, united states","4,817,080",4817080
"houston, texas, united states","4,125,412",4125412
"san francisco, california, united states","3,473,978",3473978
"philadelphia, pennsylvania, united states","2,982,629",2982629
"dallas, texas, united states","2,947,032",2947032
"atlanta, georgia, united states","2,786,921",2786921
"paris, île-de-france, france","2,523,260",2523260
"washington, district of columbia, united states","2,467,991",2467991
"miami, florida, united states","2,315,848",2315848
"boston, massachusetts, united states","2,283,890",2283890
"bombay, maharashtra, india","2,249,728",2249728
"phoenix, arizona, united states","2,176,291",2176291
"london, greater london, united kingdom","2,163,672",2163672
"bengaluru, karnataka, india","2,081,918",2081918
"san diego, california, united states","2,055,052",2055052
"seattle, washington, united states","1,915,507",1915507
"rio de janeiro, rio de janeiro, brazil","1,900,716",1900716
"brooklyn, new york, united states","1,865,344",1865344
"denver, colorado, united states","1,849,595",1849595
"san antonio, texas, united states","1,741,442",1741442
"minneapolis, minnesota, united states","1,740,894",1740894
"detroit, michigan, united states","1,709,827",1709827
"johannesburg, gauteng, south africa","1,682,745",1682745
"tampa, florida, united states","1,648,774",1648774
"sydney, new south wales, australia","1,568,790",1568790
"madrid, madrid, spain","1,550,241",1550241
"austin, texas, united states","1,541,950",1541950
"las vegas, nevada, united states","1,513,333",1513333
"orlando, florida, united states","1,435,079",1435079
"charlotte, north carolina, united states","1,389,723",1389723
"melbourne, victoria, australia","1,383,457",1383457
"portland, oregon, united states","1,378,631",1378631
"columbus, ohio, united states","1,326,929",1326929
"indianapolis, indiana, united states","1,321,181",1321181
"cleveland, ohio, united states","1,293,317",1293317
"baltimore, maryland, united states","1,273,768",1273768
"saint louis, missouri, united states","1,273,164",1273164
"london, london, united kingdom","1,255,940",1255940
"pittsburgh, pennsylvania, united states","1,210,176",1210176
"toronto, canada","1,178,970",1178970
"new delhi, delhi, india","1,176,128",1176128
"hyderābād, telangana, india","1,151,364",1151364
"jacksonville, florida, united states","1,149,794",1149794
"sacramento, california, united states","1,146,239",1146239
"cincinnati, ohio, united states","1,125,226",1125226
"pune, maharashtra, india","1,122,248",1122248
"delhi, delhi, india","1,079,613",1079613
"milwaukee, wisconsin, united states","1,074,115",1074115
"barcelona, catalonia, spain","1,068,202",1068202
"chennai, tamil nadu, india","1,006,983",1006983
"raleigh, north carolina, united states","965,210",965210
"memphis, tennessee, united states","964,895",964895
"bronx, new york, united states","947,276",947276
"louisville, kentucky, united states","924,973",924973
"kansas city, missouri, united states","919,371",919371
"tucson, arizona, united states","913,904",913904
"nashville, tennessee, united states","909,372",909372
"san jose, california, united states","904,467",904467
"belo horizonte, minas gerais, brazil","883,816",883816
"salt lake city, utah, united states","866,798",866798
"amsterdam, noord-holland, netherlands","789,174",789174
"brisbane, queensland, australia","779,165",779165
"porto alegre, rio grande do sul, brazil","763,965",763965
"oklahoma city, oklahoma, united states","758,473",758473
"curitiba, parana, brazil","742,134",742134
"jakarta, jakarta raya, indonesia","741,334",741334
"rochester, new york, united states","738,017",738017
"milan, lombardy, italy","718,579",718579
"buffalo, new york, united states","693,329",693329
"rome, lazio, italy","691,871",691871
"fort worth, texas, united states","686,336",686336
"shanghai, shanghai, china","664,223",664223
"omaha, nebraska, united states","650,503",650503
"orange county, california, united states","649,845",649845
"tulsa, oklahoma, united states","648,771",648771
"fort lauderdale, florida, united states","646,412",646412
